Fecha,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021-03-25,-21.0,5.0,-34.0,-29.0,-25.0,10.0
2021-03-26,-23.0,6.0,-34.0,-28.0,-20.0,9.0
2021-03-27,-21.0,9.0,-31.0,-18.0,3.0,3.0
2021-03-28,-22.0,3.0,-27.0,-16.0,10.0,2.0
2021-03-29,-21.0,8.0,-30.0,-28.0,-25.0,8.0
2021-03-30,-16.0,9.0,-26.0,-27.0,-27.0,7.0
2021-03-31,-9.0,21.0,-24.0,-22.0,-27.0,6.0
2021-04-01,-15.0,20.0,-24.0,-30.0,-45.0,10.0
2021-04-02,-38.0,0.0,-31.0,-50.0,-59.0,17.0
2021-04-03,-32.0,1.0,-29.0,-35.0,-25.0,7.0
2021-04-04,-28.0,-2.0,-29.0,-15.0,3.0,1.0
2021-04-05,-21.0,9.0,-30.0,-25.0,-25.0,7.0
2021-04-06,-21.0,5.0,-30.0,-28.0,-26.0,8.0
2021-04-07,-20.0,8.0,-29.0,-28.0,-26.0,8.0
2021-04-08,-20.0,7.0,-29.0,-29.0,-25.0,9.0
2021-04-09,-23.0,7.0,-32.0,-29.0,-20.0,9.0
2021-04-10,-22.0,8.0,-30.0,-20.0,3.0,3.0
2021-04-11,-23.0,3.0,-27.0,-17.0,9.0,2.0
2021-04-12,-24.0,5.0,-32.0,-28.0,-22.0,8.0
2021-04-13,-23.0,3.0,-32.0,-30.0,-24.0,9.0
2021-04-14,-19.0,9.0,-31.0,-28.0,-24.0,9.0
2021-04-15,-16.0,13.0,-29.0,-26.0,-23.0,9.0
2021-04-16,-19.0,12.0,-30.0,-25.0,-18.0,8.0
2021-04-17,-18.0,12.0,-29.0,-17.0,4.0,3.0
